tutorialarea_shop_title,판매 목록
dialog_privateRoomPlayingError_message,선택하신 룸은 라이브 중입니다.
dialog_privateRoom_copyRoomNumber,번호 복사
dialog_privateRoom_createRoom,룸 작성
dialog_privateRoom_typeCaption,룸 타입
dialog_privateRoom_nameCaption,룸 이름
dialog_privateRoom_nameLimit,최대 10자까지 입력
dialog_privateRoom_numberCaption,룸 번호
dialog_privateRoom_roomSelect,룸 제한
dialog_privateRoom_title,프라이빗 룸 작성
dialog_privateRoomDenied_description,메인 밴드의 종합력이 부족하여\n지정된 룸에 입장할 수 없습니다.
dialog_privateRoomDenied_needPower,필요 종합력
dialog_privateRoomDenied_room,룸
dialog_privateRoomDenied_title,종합력 부족
dialog_privateRoomEntrance_createButton,작성
dialog_privateRoomEntrance_createDescription,룸 새로 만들기
dialog_privateRoomEntrance_joinDescription,친구 룸에 들어가기
dialog_privateRoomJoin_description,5자리의 룸 번호를 설정하여 친구들과 협력 라이브!
dialog_privateRoomJoin_descriptionVersus,5자리의 룸 번호를 설정하여 친구들과 합동 라이브!
dialog_privateRoomJoin_joinButton,입장
dialog_privateRoomJoin_title,프라이빗 룸 참가
dialog_privateRoomLeave_title,프라이빗 룸 퇴장
dialog_privateRoomLeave_confirm,프라이빗 룸에서 퇴장합니다.\n진행하시겠습니까?
dialog_publishConfig_title,프로필 정보 설정
dialog_publishConfig_publish,공개 중
dialog_publishConfig_closed,비공개
dialog_purchaseCancel_title,취소
dialog_purchaseCancel_message,구매를 취소 했습니다.
dialog_purchaseComplete_billingAmountNotice,\n[FF0000]이달의 총과금 액이 {0}엔이 되었습니다.[-]
dialog_purchaseComplete_message,[505050]「{0}」을(를) 구매했습니다.[-]
dialog_purchaseComplete_title,구매 완료
dialog_purchaseFailed_message,구매에 실패했습니다.
dialog_purchaseFailed_messageOutOfTerm,기간이 만료되어 구매할 수 없는 아이템이거나\n구매 제한에 도달하여 구매할 수 없습니다.
dialog_rankReward_itemDescription,{0} x{1}
dialog_rankUp_liveBoostLimitCaution,※라이브 부스트는 최대 {0}까지만 회복할 수 있습니다.
dialog_rankUp_recoveryLiveBoost,라이브 부스트가 {0}회복되었습니다!
dialog_rankUp_recoveryLiveBoostChange,[4C4C4C]랭크 {0}이(가) 되었습니다.\n랭크 업 시\n라이브 부스트의 회복량이[-][FF3B72]{1}[-][4C4C4C]이(가) 되었습니다![-]
dialog_rankUp_recoveryLiveBoostFriendLimitChange,친구 목록 최대치가 {0} 증가했습니다.
dialog_rankUp_bandStoryOpenBandName,{0}의 밴드 스토리
dialog_rankUp_bandStoryOpenChapter,「{0}」이(가) 오픈되었습니다.
dialog_rankUp_mainStoryOpenChapter,시즌 {0} 메인 스토리 「{1}」이(가) 오픈되었습니다.
dialog_rankUp_title,랭크 업!
dialog_rankUp_getReward_title,보상 획득
dialog_rankUp_getReward_message,이하의 보상을 수령하였습니다!
dialog_rankUp_levelUpperLimitOpen_title,최대 레벨 증가
dialog_rankUp_levelUpperLimitOpen_message,최대 레벨이 증가되었습니다!
dialog_rankUp_levelUpperLimitOpen_areaItem_message,「{0}」의 최대 레벨이 증가되었습니다!
dialog_rankUp_levelUpperLimitOpen_levelMax,최대 레벨
dialog_recoverLiveBoost_title,라이브 부스트 회복
dialog_recoverLiveBoost_message,라이브 부스트를 {0}회복했습니다!
dialog_reviewRequest_message,뱅드림! 걸즈 밴드 파티를 이용해주셔서 감사합니다.\n\n신입 스태프 여러분들의 소중한 의견을 기다립니다.\n마켓 리뷰 부탁드려요~
dialog_reviewRequest_rejectionButton,취소
dialog_reviewRequest_reviewButton,리뷰
dialog_reviewRequest_title,리뷰
dialog_rewardAreaItem_message,창고로 보냈습니다.
dialog_rewardAreaItem_talk,발생 대화
dialog_rewardAreaItem_areaItemEffect,에어리어 아이템 효과
dialog_rewardItem_message,보상을 획득했습니다!
dialog_rewardMusic_message,「{0}」\n새로운 음악이 공개되었습니다!
dialog_rhythmAdjust_title,판정 조절
dialog_rhythmAdjust_resultEnd,END
dialog_rhythmAdjust_resultStart,START
dialog_rhythmAdjust_message,소리에 맞춰 마크를 탭하세요.
dialog_rhythmAdjustReady_adjustButton,조절하기
dialog_rhythmAdjustReady_message,리듬 아이콘의 판정 타이밍을 조절합니다.\n소리에 맞춰 마크를 탭하세요.
dialog_rhythmAdjustReady_title,판정 조절
dialog_rhythmAdjustDone_title,조절 완료
dialog_rhythmAdjustDone_retakeButton,다시 조절하기
dialog_rhythmAdjustDone_decideButton,설정 적용
dialog_rhythmgameGameOverContinue_title,컨티뉴
dialog_rhythmgameGameOverContinue_message,스타를 {0}개 소비하여\n라이프를 모두 회복하고 컨티뉴하시겠습니까?
dialog_rhythmgameGameOverGarupaCup_message,라이프가 모두 소비되었습니다.\n걸파컵에선 컨티뉴를 할 수 없습니다.\n걸파컵 TOP 페이지로 돌아갑니다.
dialog_rhythmgameGameOver_title,라이브 실패
dialog_rhythmgameGameOver_message,라이프가 모두 소비되었습니다.\n스타를 {0}개 소비하여\n라이프를 모두 회복하고 컨티뉴를 할 수 있습니다.
dialog_rhythmgameGameOver_continueButton,컨티뉴
dialog_rhythmgameGameOver_retireButton,포기
dialog_rhythmgameGameOverLackOfStar_message,스타가 부족합니다.\n컨티뉴할 수 없습니다.
dialog_rhythmgameGameOverLackOfStar_title,스타 부족
dialog_rhythmgameGameOverRetire_message,라이브를 포기하면 보상을 획득할 수 없습니다.\n소비한 라이브 부스트도 반환되지 않습니다.\n포기하시겠습니까?
dialog_rhythmgameGameOverRetire_challengeLiveMessage,라이브를 포기하면 보상을 획득할 수 없습니다.\n소비한 챌린지P도 반환되지 않습니다.\n포기하시겠습니까?
dialog_rhythmgameGameOverRetire_title,포기
dialog_rhythmgamePause_body,라이브를 중단하고 홈으로 돌아가시겠습니까?\n※소비한 라이브 부스트는 반환되지 않습니다.※
dialog_rhythmgamePause_challengeLiveBody,라이브를 중단하고 홈으로 돌아가시겠습니까?\n※소비한 챌린지P는 반환되지 않습니다.※
dialog_rhythmgamePause_resume,계속
dialog_rhythmgamePause_retire,중단
dialog_rhythmgamePause_title,일시정지
dialog_rhythmgamePause_garupaCupBody,{0}라이브를 중단하고\n걸파컵 TOP 페이지로 돌아가시겠습니까?[-]\n{1}※도전 가능 횟수는 반환되지 않습니다.[-]
dialog_scenario_skip,이 스토리를 스킵하시겠습니까?
dialog_scenario_skipTitle,스킵
dialog_skillPracticePrePractice_message1,선택한 대기실 멤버는 사라집니다.\n스킬 연습을 진행하시겠습니까?
dialog_skillPracticePrePractice_message2,★3 이상의 멤버가 선택되었습니다.
dialog_situationTrainingPreTraining_message,선택한 티켓을 소비하여 연습합니다.\n진행하시겠습니까?
dialog_situationTrainingPreTraining_message2,※이 캐릭터와 해당 캐릭터용 스킬 연습티켓은\n캐릭터 조건이 일치하지 않습니다.
dialog_situationTrainingPreTraining_title,확인
dialog_storyConfirm_message,보이스 데이터를 다운로드하여\n스토리를 보시겠습니까?
dialog_storyConfirm_title,스토리 재생
dialog_storyReward_title,스토리 달성 보너스
dialog_soloLiveLackOfMember_message,라이브를 시작하려면 멤버 5명이 필요합니다.\n멤버를 편성해주세요.
dialog_soloLiveLackOfMember_title,멤버 부족
dialog_sort_captionAttribute,타입으로 정렬
dialog_sort_captionBand,밴드로 정렬
dialog_sort_sortingOrder,정렬순
dialog_specialTraining_title,확인
dialog_specialTrainingParamUp_title,특훈 결과
dialog_specialTraining_message,아이템을 소비하고\n{0} {1} 의 특훈을 합니다.\n진행하시겠습니까?
dialog_starShop_actOnSettlement,자금 결제법에\n근거한 표기
dialog_starShop_notPermitPurchase,구매할 수 없습니다. 디바이스의 설정을 확인해주세요.
dialog_starShop_buyableCount,앞으로 {0}회
dialog_starShop_buyableCountOneTime,1회 한정
dialog_starShop_buyablePeriod,{0}까지
dialog_starShop_buyPremiumPass,구매합니다.
dialog_starShop_buyStarFormat,￦{0}
dialog_starShop_currencyGuidelines,게임 내 통화\n가이드 라인
dialog_starShop_detailButton,상세
dialog_starShop_salesPeriod,판매 기간
dialog_starShop_limitedButton,한정
dialog_starShop_liveBoost,라이브\n부스트
dialog_starShop_liveBoostDescription3,라이브 부스트 3회복
dialog_starShop_liveBoostDescription10,라이브 부스트 10회복
dialog_starShop_premiumPassButton,프리미엄\n해피 BOX
dialog_starShop_premiumPassGiveTiming,1일 1회 선물
dialog_starShop_premiumPassPeriod,프리미엄 해피 BOX의 유효기간은 {0}일입니다.
dialog_starShop_premiumPassRestCount,[FF395A]앞으로 {0}회[-]
dialog_starShop_purchased,[FF395A]구매 후[-]\n[606060]유효기간　{0}까지[-]
dialog_starShop_purchasedLabel,구매완료
dialog_starShop_recoverLiveBoost,회복
dialog_starShop_specifiedCommercialTransactionsLaw,특정상거래법에\n근거하여 표기
dialog_starShop_starCampaignBalloon,캠페인 중!
dialog_starShop_title,스타 상점
dialog_takeOver_clipboard,연동 ID\n{0}\n패스워드\n{1}
dialog_takeOver_descriptionReset,이미 연동 설정이 완료되어 있습니다.\n재설정 시 이전 연동 설정은 무시됩니다.\n진행하시겠습니까?
dialog_takeOver_descriptionSettingFinish,[FE2349]연동ID・패스워드는 보안을 위해\n이 화면을 닫으면 다시 표시되지 않습니다.[-]\n[505050FF]반드시 스크린샷등으로 보존해주시기 바랍니다.[-]
dialog_takeOver_descriptionSetting,「데이터 연동」에는 연동 ID・패스워드가 모두 필요합니다.\n패스워드를 설정해주세요.
dialog_takeOver_descriptionTakeoverId,(패스워드 설정 후 자동으로 발급됩니다.)
dialog_takeOver_descriptionSettingWarning,[505050FF]※입력한 패스워드는 한 번만 사용할 수 있습니다.\n[FE2349]※다른 OS에서 연동한 경우\n소지하고 있던 유료 스타는 소멸되므로 주의 바랍니다.[-]
dialog_takeOver_descriptionSettingCopy,ID・패스워드를 복사
dialog_takeOver_errorInvalidPassword,사용할 수 없는 글자가 포함되어 있습니다.\n패스워드는 영문과 숫자를 입력해주세요.
dialog_takeOver_errorPasswordLimit,패스워드는 영문과 숫자로 8자~16자를\n입력해주세요.
dialog_takeOver_passwordLimit,※영문과 숫자 8~16자
dialog_takeOver_reset,재설정
dialog_takeOver_titleSetting,연동 설정
dialog_takeOver_titleSettingFinish,연동 설정 완료
dialog_totalParam_title,종합력 상세
dialog_totalParam_bandParameter,밴드 파라미터
dialog_totalParam_bonusAreaItem,에어리어 아이템 보너스
dialog_trainingError_message,연습을 실패했습니다.
dialog_unlockArea_contentsText,「{0}」이(가) 맵에서 오픈되었습니다!
dialog_unlockArea_title,에어리어 오픈
dialog_unlockAreaItem_contentsText,「{0}」의 {1}에\n「{2}」이(가) 입고되었습니다!
dialog_unlockAreaItem_title,에어리어 아이템 오픈
dialog_unlockBandStory_contentsText,{0}의 밴드 스토리\n「{1}」이(가) 오픈되었습니다!
dialog_unlockBandStory_title,밴드 스토리 오픈
dialog_unlockEventStory_contentsText,이벤트 스토리\n「{0}」이(가) 오픈되었습니다!
dialog_unlockEventStory_title,이벤트 스토리 오픈
dialog_unlockMainStory_contentsText,시즌 {0} 메인 스토리\n「{1}」이(가) 오픈되었습니다!
dialog_unlockMainStory_title,메인 스토리 공개
dialog_unlockPrivateRoom_title,프라이빗 룸 오픈
dialog_unlockPrivateRoom_description,[505050]룸을 오픈하여 멤버를 모집 합니다.\n진행하시겠습니까?[-]
dialog_unlockPrivateRoom_descriptionWarning,[505050]룸을 오픈하여 멤버를 모집 합니다.\n진행하시겠습니까?[-]\n\n[FE2349]※입장 대기 중인 멤버가 있습니다.[-]
dialog_unlockPrivateRoom_cantUse,룸 오픈 기능은 멤버가 2명 이상일 때부터\n사용할 수 있습니다.
dialog_userRankReward_title,랭크 상세
dialog_userRankReward_descriptionTitle,랭크 보상 목록
dialog_userRankReward_friendLimitDescription,친구 수 최대치 {0} → {1}
dialog_userRankReward_mainStoryDescription,시즌 {0} 메인 스토리{1}
dialog_waitingRoomExchangeConfirm_body,대기실 멤버 {0}명과\n미셸 스티커 {1}장을 교환합니다.\n진행하시겠습니까?
dialog_waitingRoomExchangeDone_title,교환 완료
dialog_waitingRoomExchangeDone_body,멤버를\n미셸 스티커로 교환하였습니다.
dialog_webViewPickUpMember_title,픽업 멤버
dialog_weekdayRoomInvalidError_message,날짜가 변경되었습니다.\n라이브 선택으로 이동합니다.
dialog_versusLBWarning_title,라이브 부스트 소비 확인
dialog_versusLBWarning_description,[505050]합동 라이브에선[-] [FE2B4B]매칭이 완료된 시점부터\n라이브 부스트가 소비[-][505050]됩니다.\n진행하시겠습니까?[-]
dialog_versusLBWarning_addDescription,[505050]\n\n※종합력이 비슷한 플레이어와 우선적으로\n매칭됩니다.[-]
dialog_versusLBWarning_notDisplay,더 이상 표시하지 않기(당 이벤트 한정)
dialog_versusPrivateRoom_eventRoom,이벤트 음악 룸
dialog_versusPrivateRoom_selectRoom,모두 함께 선곡 룸
dialog_whatIsHighScoreRating_title,하이 스코어 레이팅이란?
dialog_whatIsHighScoreRating_content1,하이 스코어 레이팅은 프리 라이브에서 플레이한\n음악에서 달성한 하이 스코어로 산출되는 수치입니다.
dialog_whatIsHighScoreRating_content3,하이 스코어를 높이려면 멤버의 종합력이나\n에어리어 아이템의 효과 등이 중요합니다.\n높은 하이 스코어 레이팅을 노려보세요.
event_menu_auto,오토
event_menu_log,로그
event_menu_menu,메뉴
event_menu_skip,2배속
event_menu_skipAll,스킵
exchangeList_description_body,교환소를 선택해주세요.
exchangeList_cell_expire,[505050]교환기한[-]  [FF3B71]{0}[-] [505050]까지[-]
friendList_cell_approvalButtonLabel,승인
friendList_cell_lastLoginAtLessOneHour,1시간 미만
friendList_cell_lastLoginAtLessSixHour,6시간 미만
friendList_cell_lastLoginAtLessThreeHour,3시간 미만
friendList_cell_lastLoginAtLessTwelveHour,12시간 미만
friendList_cell_lastLoginAtLessTwentyFourHour,24시간 미만
friendList_cell_lastLoginAtMoreThanOneMonthAgo,1개월 이상
friendList_cell_lastLoginAtOneDayOrMoreSuffix,{0}일전
friendList_cell_rejectionButtonLabel,거절
friendList_contents_emptyMessageApplication,신청 중인 플레이어가 없습니다.
friendList_contents_emptyMessageApproval,승인 대기 플레이어가 없습니다.
friendList_contents_emptyMessageFriend,친구가 없습니다.
friendList_contents_numberOfPeopleSeparator,/
friendList_sortingType_rank,랭크
friendList_sortingOrder_asc,오름순
friendList_sortingOrder_desc,내림순
friendList_tab_friendList,친구 목록
friendList_tab_applyList,신청 중인 목록
friendList_tab_approvalList,승인 대기 목록
gacha_result_spinButton,한 번 더 뽑기
gacha_result_omakeTitle,세트 아이템 입수
gacha_result_omakeContent,세트 아이템을 선물함으로 보냈습니다.
gacha_top_step,STEP\n{0}/{1}!
gacha_top_timesOnly,{0}회 한정
gacha_top_omakeSet,세트로 받을 수 있어요!
gacha_top_oneTimeOnlyDaily,1일 1회\n한정!
gacha_top_restCount,앞으로\n{0}회
gacha_top_spinExecuted,뽑기가 종료되었습니다.
gacha_top_spinPaid,유료 스타로!
gacha_top_spinButton,{0}회 뽑기
gacha_top_spinButtonPaid,{0}회 뽑기\n(유료 스타)
gacha_top_spinButtonLock_once_a_day,오늘은 뽑기를\n할 수 없습니다.\n4시에 초기화\n됩니다.
gacha_unexpectedError_message,예상치 못한 오류가 발생했습니다.\n타이틀로 이동합니다.
garupaCup_deckSelect_areaItemBonusCaution,※에어리어 아이템 보너스 무효
garupaCup_deckSelect_bandDescription,지정된 밴드로만 플레이 한정
garupaCup_deckSelect_caution,각 멤버의 파라미터는 걸파컵 전용입니다.\n걸파컵 라이브에선 스킬이 발동되지 않습니다.\n또한 라이브 클리어 시 경험치 및 보상을 받을 수 없습니다.
garupaCup_result_secondQualificationDescription,도쿄 빅 사이트에서 회장 본예선 라이브에\n참가하신 1차 예선 진출자분께서는\n스태프의 집계가 끝날 때까지\n 이화면에서 기다려 주시기 바랍니다.
garupaCup_situationDetail_description,이 멤버의 파라미터는 걸파컵 전용입니다.\n걸파컵 라이브에선 스킬이 발동되지 않습니다.
garupaCup_secondQualification_openDate,회장 본예선 개최 기간
garupaCup_tutorialSlide_title,걸파컵 1차 예선에 참가하자!
header_mainTitle_band,밴드
header_mainTitle_bandStory,밴드 스토리
header_mainTitle_challengeLive,챌린지 라이브
header_mainTitle_event,이벤트
header_mainTitle_exchange,교환소
header_mainTitle_freeLive,프리 라이브
header_mainTitle_friendList,친구
header_mainTitle_gacha,뽑기
header_mainTitle_garupaCup,걸파컵
header_mainTitle_live,라이브
header_mainTitle_mainStory,메인 스토리
header_mainTitle_multiLive,협력 라이브
header_mainTitle_notice,공지사항
header_mainTitle_other,그 외
header_mainTitle_present,선물
header_mainTitle_shop,상점
header_mainTitle_story,스토리
header_mainTitle_versusLive,합동 라이브
header_mainTitle_warehouse,에어리어 아이템
header_mainTitle_mission,미션
header_mainTitle_eventRewardBoxGacha,마리나 씨의 선물 상자
header_starShopBalloon_beginnerCampaign,초보자 한정 캠페인 중♪
header_starShopBalloon_premiumHappyBox,프리미엄 해피 BOX♪
header_starShopBalloon_starIncrease,특가 캠페인 진행 중♪
header_subTitle_areaShop,상점
header_subTitle_areaWarehouse,창고
header_subTitle_bandMenu,TOP
header_subTitle_bandSelect,밴드 스토리 선택
header_subTitle_bandStorySelect,밴드 스토리 선택
header_subTitle_challengeEventDeckSelect,최종 확인
header_subTitle_costumeSelect,코스튬 선택
header_subTitle_deckEdit,밴드 편성
header_subTitle_degreeSelect,칭호 선택
header_subTitle_eventBadgeExchange,뱃지 교환소
header_subTitle_exchangeList,교환소 선택
header_subTitle_freeLiveDeckSelect,밴드 확인
header_subTitle_freeLiveMusicSelect,음악 선택
header_subTitle_friendList,목록
header_subTitle_gachaResult,뽑기 결과
header_subTitle_gachaTop,TOP
header_subTitle_inventory,소지 아이템
header_subTitle_liveCostume,라이브 의상
header_subTitle_liveSelect,라이브 선택
header_subTitle_mainStorySelect,메인 스토리 선택
header_subTitle_memberList,멤버 목록
header_subTitle_multiLiveDeckSelect,최종 확인
header_subTitle_multiLiveLevelSelect,룸 선택
header_subTitle_multiLiveMusicSelect,음악 리퀘스트
header_subTitle_multiLiveMutching,매칭
header_subTitle_multiLiveShuffle,음악 셔플
header_subTitle_musicShop,음악 상점
header_subTitle_noticeDetail,공지사항 내용
header_subTitle_noticeList,공지사항 목록
header_subTitle_presentList,목록
header_subTitle_profile,프로필
header_subTitle_profile_others,프로필
header_subTitle_ranking,누계 이벤트P 랭킹
header_subTitle_reward,누계 이벤트P 보상
header_subTitle_scoreRanking,스코어 랭킹
header_subTitle_scoreRankingReward,스코어 랭킹 보상
header_subTitle_situationDetail,멤버 상세
header_subTitle_skillPractice,스킬 연습
header_subTitle_skillPracticeList,스킬 연습 멤버 선택
header_subTitle_specialTraining,특훈
header_subTitle_storySelect,스토리 선택
header_subTitle_training,연습
header_subTitle_waitingRoom,대기실
header_subTitle_mission,미션 목록
label_nickName_placeholder,닉네임(10자 이내)
live_musicSelect_achievementButton,달성 보상
live_musicSelect_lockMusic,이 음악은 잠겨 있습니다.
live_musicSelect_selectDifficulty,난이도 선택
live_musicSelect_musicHighScoreRating,음악 하이 스코어 레이팅
live_soloLiveLoading_dataDownLoading,로딩 중…
live_reward_liveBoost,모든 EXP
live_reward_liveBoostEffectText,보상・EXP
liveTop_buttonName_eventTop,이벤트 TOP
loginBonus_message_costumeNameFormat,의상 「{0}」
loginBonus_message_getItem,{0}을(를) 획득했습니다!
loginBonus_period_dateFormat,진행기간  MM/dd  HH:mm까지
map_presentList_deliveryDate,획득 날짜
map_presentList_expiredAt,수령 기한
map_presentList_receivedDate,수령 일시
map_presentList_giveButton,수령
map_presentList_bulkReceiptButton,일괄 수령
map_presentList_tabNotReceived,미수령
map_presentList_tabReceived,수령함
menuList_notice_button,공지사항
menuList_home_button,홈
menuList_myProfile_button,프로필
menuList_album_button,앨범
menuList_friendList_button,친구
menuList_exchange_button,교환소
menuList_inventory_button,소지 아이템
menuList_option_button,옵션
menuList_achievement_button,업적
menuList_starShop_button,스타 상점
menuList_playerStar_button,소지 스타\n확인
menuList_takeOverData_button,데이터\n연동
menuList_help_button,FAQ
menuList_support_button,서포트
menuList_termsOfService_button,이용약관
menuList_title_button,타이틀로\n이동
memorialStory_storyCell_eventPublishAt,{0}년 {1}월 {2}일 ~
memorialStory_storySelect_message,밴드 스토리를 보면 더 많은 이벤트 스토리를 즐길 수 있습니다.
mission_complete_notice,미션 성공!
mission_tab_normal,일반
mission_tab_event,기간 한정
mission_bulk_receive,일괄 수령
mission_detail_button,상세
mission_receive_button,수령
mission_noMissionNormal_message,현재 도전하실 수 있는 일반 미션이 없습니다.
mission_noMissionEvent_message,현재 도전하실 수 있는 기간 한정 미션이 없습니다.
mission_transitionButton_live,라이브
mission_transitionButton_practice,연습
mission_transitionButton_story,스토리
mission_transitionButton_training,특훈
mission_transitionButton_member,멤버
mission_transitionButton_skillPractive,스킬 훈련
mission_transitionButton_map,맵
mission_transitionButton_costume,의상
mission_transitionButton_profile,프로필
mission_transitionButton_friend,친구
multiPlay_abDownloadRetryableError_message,통신 오류가 발생했습니다.\n다시 한번 통신합니다.
multiPlay_deckSelect_message,난이도를 선택한 후 「준비완료!」를 눌러줘!
multiPlay_entrance_lockRoomMessage,메인 멤버의\n종합력을 올려보자!
multiPlay_entrance_outOfTerm,요일 룸은 현재 진행되고 있지 않습니다.\n자세한 내용은 공지사항을 확인해주세요.
multiPlay_ingameError_message,통신이 끊어졌습니다.\n홈으로 이동합니다.
multiPlay_limitedTimeOverDialog_title,제한시간 초과
multiPlay_limitedTimeOverDialog_contents,룸을 해산합니다.
multiPlay_liveReward_waitingMessage,다른 멤버를 기다리고 있습니다...
multiPlay_matching_decideButton,이 멤버로 시작
multiPlay_matching_liveDifficultyCaption,룸
multiPlay_matching_memberDecision,멤버가 정해졌어! 음악을 리퀘스트하자!
multiPlay_matching_nextDifficulty,멤버가 정해졌어! 난이도를 선택하자!
multiPlay_matching_rewardTypeCaption,룸 타입
multiPlay_matching_waitingMessage,매칭 중...... 멤버가 모일 때까지 기다리자!
multiPlay_messageSelectDifficulty_label,난이도를 선택한 후 「준비완료!」를 눌러줘!
multiPlay_messageWaitingMember_label,다른 멤버가 난이도를 선택 중이야! 조금만 기다려줘!
multiPlay_musicSelect_randomSelect,노래 선택은 맡길게!
multiPlay_musicShuffle_musicDecision,노래가 정해졌어! 난이도를 선택하자!
multiPlay_musicShuffle_waitingForMember,다른 멤버가 노래를 정할 때까지 기다려줘!
multiPlay_result_canNotApplyButtonLabel,신청 불가
multiPlay_result_membersScore,멤버의 스코어
multiPlay_result_membersScore2lines,멤버의\n스코어
multiPlay_result_waitingMember,연주 중인 멤버를 기다리고 있습니다.....
multiPlay_roomDisconnected_message,연결이 끊어졌습니다.\n룸 선택으로 이동합니다.
multiPlay_roomEntryFailed_message,네트워크에 연결할 수 없습니다.\n통신이 원활한 장소에서 다시 시도해주세요.
multiPlay_roomEntryPhotonError_message,통신 에러가 발생했습니다.\n통신 원활한 장소에서 다시 시도해주세요.
multiPlay_roomNetworkError_message,통신 에러가 발생했습니다.\n룸 선택으로 이동합니다.\n통신 원활한 장소에서 다시 시도해주세요.
multiPlay_roomNetworkError_messageToHome,통신이 끊어졌습니다.\n홈으로 이동합니다.
multiPlay_userCell_notSelectState,선택 중...
multiPlay_userCell_selectedState,준비완료!
multiPlay_userCell_selectingMusic,선곡 중...
multiPlay_userCell_selectedMusic,OK!
multiPlay_userCell_waitingEmptyState,모집 중...
multiPlay_userCell_waitingState,대기 중...
multiPlay_userDownloadProgress_done,준비완료♪
multiPlay_userDisconnected_message, 님의 연결이 끊어졌습니다.\n룸 선택으로 이동합니다.
multiPlay_userDisconnected_messageWithName,{0} 님의 연결이 끊어졌습니다.\n룸 선택으로 이동합니다.
multiPlay_versusMatchingType_event,이벤트 음악
multiPlay_versusMatchingType_select,모두 함께 선곡
multiPlay_waitingUser_message,다른 멤버가 준비하고 있습니다......
musicSelect_musicInfoTabCaption_difficulty,난이도 선택
musicSelect_musicInfoTabCaption_howToGet,오픈 조건
myProfile_contentCaption_clearMusicNum,클리어한 음악 수
myProfile_contentCaption_fullComboMusicNum,풀 콤보한 음악 수
myProfile_contentCaption_comment,코멘트 한마디
myProfile_contentCaption_playerName,플레이어 이름
myProfile_contentCaption_rank,랭크
myProfile_closedCaption_message,비공개 정보입니다.
myProfile_closedCaption_word,비공개
myProfile_buttonCaption_changeDegree,칭호 변경
notice_insideGame_title,게임 공지사항
notice_outsideGame_title,뱅드림! 공지사항
notice_maintenance_title,점검 정보
presentList_logEmpty_message,지난 1주간 받은 선물이 없습니다.
presentList_noData_message,받을 선물이 없습니다.
rhythmgame_skillTelop_playEncoreSkill,스킬 앙코르!
rhythmgame_skillTelop_playMultiSkill,[FDE333]{0}[-]의\n스킬 발동!
rhythmgame_skillTelop_playMultiEncoreSkill,[FDE333]{0}[-]의\n스킬 앙코르!
rhythmgame_skillTelop_playSkill,스킬 발동!
rhythmgame_titleBoard_arranger,편곡 : 
rhythmgame_titleBoard_lyricist,작사 : 
rhythmgame_titleBoard_composer,작곡 : 
stamp_rareStamp_notHaveStamp,소지한 레어 스탬프가 없습니다.
stamp_rareStamp_obtainingRoute,레어 스탬프는 이벤트 등을 통해 획득할 수 있습니다.
stamp_tabName_history,히스토리
stamp_tabName_rare,레어 스탬프
stamp_tabName_standard,기본 스탬프
story_select_captionSynopsis,줄거리
story_select_howToGet,오픈 조건
story_select_lock,이 스토리는 잠겨 있습니다.
story_select_noStory,볼 수 있는 스토리가 없습니다.
story_select_readButton,보기
story_select_releaseConditionBand,・{0}\n밴드 랭크 {0}일 때 오픈
story_select_releaseConditionAllBand,・모든 밴드의\n밴드 랭크가 {0}이상일 때 오픈
story_select_transitionMemorialStoryMessage,멤버들의 활약은\n추억의 스토리에서 볼 수 있습니다
story_select_transitionMemorialStory,추억의 스토리로
story_select_lockMessageLater,・일정 기간 후 오픈
story_select_lockMessageAllBandRank,・모든 밴드 랭크 {0}이상
story_select_lockMessageBandRank,・{0}의 밴드 랭크 {1}이상
story_select_lockMessageUserRank,・플레이어 랭크 {0} 이상
story_top_mainStoryCaption,다 함께 라이브로 같이 달려요!
story_top_bandStoryCaption,밴드 별 오리지널 스토리!
story_top_memorialStoryCaption,이벤트 스토리를 다시 한번 보자!
storyEvent_complete_story,모든 스토리가 오픈되었습니다.
storyEvent_ranking_description,이벤트P가 같은 경우에는 선착순으로 순위가 적용됩니다.
storyEvent_ranking_tabMyRank,내 순위
storyEvent_ranking_tabTopXXX,TOP10
storyEvent_ranking_noDataWithMyRank,참여하지 않은 이벤트입니다. 
storyEvent_ranking_noDataWithTopXXX,현재 랭킹을 집계 중입니다.
storyEvent_requireNextStory,다음 스토리까지
storyEvent_result_baseEventPoint,기본 이벤트P
storyEvent_result_gotEventPoint,획득 이벤트P
storyEvent_result_gotEventBadges,획득 뱃지
storyEvent_result_gotEventMedals,획득 메달
storyEvent_result_memberBonus,멤버 보너스
storyEvent_result_nextEventPoints,다음 이벤트P 보상
storyEvent_result_requireNextEventFormat,「{0}」
storyEvent_result_scoreBonus,스코어 보너스
storyEvent_result_usedLiveBoost,소비 라이브 부스트
storyEvent_reward_pickUpMemberButton,픽업 멤버
storyEvent_reward_rankingRewardDescription,랭킹 보상은 이벤트 종료 후 2주 이내에 로그인하시면 획득할 수 있습니다.
storyEvent_reward_tabRankingReward,랭킹 보상
storyEvent_reward_tabTotalEventPointReward,누계 이벤트P 보상
storyEvent_reward_totalEventP,누계 이벤트P
storyEvent_eventLoginReward_dialogPopup,이벤트 로그인 보너스
storyEvent_eventLoginReward_received,선물을 받았습니다.\n다음 로그인 보너스 선물은 다음 날 오전 4시 이후에 받을 수 있습니다.
storyEvent_story_description,한정 스토리를 보자!
