tutorialarea_shop_title	Shop Items
dialog_rhythmgameGameOverLackOfStar_message	You do not have enough Stars\nto be able to continue.
dialog_rhythmgameGameOverLackOfStar_title	Not Enough Stars
dialog_rhythmgameGameOverRetire_message	If you give up, you will not receive\nany prizes for this performance.\nYou will also lose any Live Boosts used.\nAre you sure?
dialog_rhythmgameGameOverRetire_challengeLiveMessage	If you give up, you will not receive\nany prizes for this performance.\nYou will also lose any Challenge Pts used.\nAre you sure?
dialog_rhythmgameGameOverRetire_title	Give Up
dialog_rhythmgamePause_body	Cancel the show and return\nto the home screen?\n※You will lose any Live Boosts used※
dialog_rhythmgamePause_challengeLiveBody	Cancel the show and return\nto the home screen?\n※You will lose any Challenge Pts used※
dialog_rhythmgamePause_resume	Resume
dialog_rhythmgamePause_retire	Cancel
dialog_rhythmgamePause_title	Paused
dialog_rhythmgamePause_garupaCupBody	{0}Cancel the show and return\nto the Girls Band Party! Cup screen?[-]\n{1}※You will fail this challenge attempt.[-]
dialog_scenario_skip	Are you sure you want to skip this story?
dialog_scenario_skipTitle	Skip
dialog_skillPracticePrePractice_message1	The selected Waiting Room members\nwill be lost.\nAre you sure you want to Practice?
dialog_skillPracticePrePractice_message2	★3 or higher members are selected.
dialog_situationTrainingPreTraining_message	The selected tickets will be lost.\nAre you sure you want to Practice?
dialog_situationTrainingPreTraining_message2	※One or more mismatched\ncharacter tickets are selected.
dialog_situationTrainingPreTraining_title	Confirmation
dialog_storyConfirm_message	Download voice data\nand watch this story?
dialog_storyConfirm_title	Watch
dialog_storyReward_title	Bonus Prize Story
dialog_soloLiveLackOfMember_message	You need 5 band members to start a show.\nPlease edit your current band.
dialog_soloLiveLackOfMember_title	Not Enough Members
dialog_sort_captionAttribute	Sort Type
dialog_sort_captionBand	Sort Band
dialog_sort_sortingOrder	Order
dialog_specialTraining_title	Confirmation
dialog_specialTrainingParamUp_title	Training Results
dialog_specialTraining_message	These items will be used\nto train {0} {1}.\nAre you sure?
dialog_starShop_actOnSettlement	資金決済に基づく表記
dialog_starShop_notPermitPurchase	Could not complete purchase. Please check your device settings.
dialog_starShop_buyableCount	{0} left
dialog_starShop_buyableCountOneTime	Only Once
dialog_starShop_buyablePeriod	Ends {0}
dialog_starShop_buyPremiumPass	Buy
dialog_starShop_buyStarFormat	\{0}
dialog_starShop_currencyGuidelines	Game Currency\nGuidelines
dialog_starShop_detailButton	Details
dialog_starShop_salesPeriod	Period
dialog_starShop_limitedButton	Limited
dialog_starShop_liveBoost	Live\nBoosts
dialog_starShop_liveBoostDescription3	Recovers 3 Live Boosts
dialog_starShop_liveBoostDescription10	Recovers 10 Live Boosts
dialog_starShop_premiumPassButton	Premium\nHappy Box
dialog_starShop_premiumPassGiveTiming	Daily Present
dialog_starShop_premiumPassPeriod	Premium Pass lasts for {0} days.
dialog_starShop_premiumPassRestCount	[FF395A]{0} left[-]
dialog_starShop_purchased	[FF395A]Purchased[-]\n[606060]Expires: {0}[-]
dialog_starShop_purchasedLabel	Purchased
dialog_starShop_recoverLiveBoost	Recover
dialog_starShop_specifiedCommercialTransactionsLaw	特定商取引法に\n基づく表記
dialog_starShop_starCampaignBalloon	Campaign Open!
dialog_starShop_title	Star Shop
dialog_takeOver_clipboard	Transfer ID\n{0}\nPassword\n{1}
dialog_takeOver_descriptionReset	Data transfer settings are already complete.\n\nSetting again will overwrite previous settings.\nAre you sure?
dialog_takeOver_descriptionSettingFinish	[FE2349]In the interests of privacy,\nyour Transfer ID and Password will not\ndisplay again after closing this window.[-]\n[505050FF]Please take a screenshot or note them down.[-]
dialog_takeOver_descriptionSetting	You will need a Transfer ID\nand Password in order to transfer data.\nPlease set a password.
dialog_takeOver_descriptionTakeoverId	(A random password will be provided automatically.)
dialog_takeOver_descriptionSettingWarning	[505050FF]※A password can only be used once.\n[FE2349]※Transfering data to another OS\nwill lose all of your Paid Stars.[-]
dialog_takeOver_descriptionSettingCopy	Copy ID / Pass
dialog_takeOver_errorInvalidPassword	Password is incorrect.\nPlease enter alphanumeric characters only.
dialog_takeOver_errorPasswordLimit	Please enter a password between 8 and 16 characters.
dialog_takeOver_passwordLimit	※8 ～ 16 alphanumeric characters※
dialog_takeOver_reset	Reset
dialog_takeOver_titleSetting	Data Transfer
dialog_takeOver_titleSettingFinish	Data Transfer
dialog_totalParam_title	Power Details
dialog_totalParam_bandParameter	Band Stats
dialog_totalParam_bonusAreaItem	Area Item Bonus
dialog_trainingError_message	Practice failed.
dialog_unlockArea_contentsText	{0} has been unlocked on the map!
dialog_unlockArea_title	Area Unlocked
dialog_unlockAreaItem_contentsText	{2} has been added\nto {0}'s {1}!
dialog_unlockAreaItem_title	Area Item Unlocked
dialog_unlockBandStory_contentsText	{0}'s Band Story\n"{1}" has been unlocked!
dialog_unlockBandStory_title	Band Story Unlocked
dialog_unlockEventStory_contentsText	Event Story\n"{0}" has been unlocked!
dialog_unlockEventStory_title	Event Story Unlocked
dialog_unlockMainStory_contentsText	Main Story\n"{0}" has been unlocked!
dialog_unlockMainStory_title	Main Story Unlocked
dialog_unlockPrivateRoom_title	Open Private Room
dialog_unlockPrivateRoom_description	[505050]Open this private room\nand invite more members?[-]
dialog_unlockPrivateRoom_descriptionWarning	[505050]Open this private room\nand invite more members?[-]\n\n[FE2349]※Members are currently waiting.[-]
dialog_unlockPrivateRoom_cantUse	You can open a private room\nwith two or more members inside.
dialog_userRankReward_title	Rank Details
dialog_userRankReward_descriptionTitle	Rank Prizes
dialog_userRankReward_friendLimitDescription	Friend Slots　{0} → {1}
dialog_userRankReward_mainStoryDescription	Main Story {0}\n{1}
dialog_waitingRoomExchangeConfirm_body	Exchanging {0} Waiting Room {1}\nfor {2} Michelle {3}.\nAre you sure?
dialog_waitingRoomExchangeDone_title	Exchange Complete
dialog_waitingRoomExchangeDone_body	Members have been\nexchanged for Stickers.
dialog_webViewPickUpMember_title	Spotlight Member
dialog_weekdayRoomInvalidError_message	Date has changed.\nReturning to Live screen.
dialog_versusLBWarning_title	Using Live Boosts
dialog_versusLBWarning_description	[505050]For VS Live shows[-][FE2B4B]Live Boosts are used\nonce matching is complete.[-][505050]\nPlease be careful.[-]
dialog_versusLBWarning_addDescription	[505050]\n\n※You will be matched with\nplayers with similar Band Power.[-]
dialog_versusLBWarning_notDisplay	Do not show again
dialog_versusPrivateRoom_eventRoom	Event Song Room
dialog_versusPrivateRoom_selectRoom	Free Song Room
event_menu_auto	Auto
event_menu_log	Log
event_menu_menu	Menu
event_menu_skip	Fast
event_menu_skipAll	Skip
exchangeList_description_body	Choose an exchange room.
exchangeList_cell_expire	[505050]Exchange Ends:[-] [FF3B71]{0}[-] [505050][-]
friendList_cell_approvalButtonLabel	Accept
friendList_cell_lastLoginAtLessOneHour	< 1 hr
friendList_cell_lastLoginAtLessSixHour	< 6 hrs
friendList_cell_lastLoginAtLessThreeHour	< 3 hrs
friendList_cell_lastLoginAtLessTwelveHour	< 12 hrs
friendList_cell_lastLoginAtLessTwentyFourHour	< 24 hrs
friendList_cell_lastLoginAtMoreThanOneMonthAgo	> 1 mo.
friendList_cell_lastLoginAtOneDayOrMoreSuffix	< {0} days
friendList_cell_rejectionButtonLabel	Reject
friendList_contents_emptyMessageApplication	No Friend requests sent.
friendList_contents_emptyMessageApproval	No Friend requests received.
friendList_contents_emptyMessageFriend	No Friends available.
friendList_contents_numberOfPeopleSeparator	/
friendList_sortingType_rank	Rank
friendList_sortingOrder_asc	Asc
friendList_sortingOrder_desc	Desc
friendList_tab_friendList	Friends
friendList_tab_applyList	Sent\nRequests
friendList_tab_approvalList	Received\nRequests
gacha_result_spinButton	Play Again
gacha_result_omakeTitle	Set Received
gacha_result_omakeContent	Set items have been sent to your Gift Box.
gacha_top_step	Step\n{0}/{1}!
gacha_top_timesOnly	{0} Only!
gacha_top_omakeSet	Get the set!
gacha_top_oneTimeOnlyDaily	Only Once Per Day!
gacha_top_restCount	{0} left
gacha_top_spinPaid	Paid Stars!
gacha_top_spinButton	{0} {1}!
gacha_top_spinButtonPaid	{0} {1}\nwith Paid Stars!
gacha_top_spinButtonLock_once_a_day	Already\nplayed today.\nResets at\n<#8:00#>.
gacha_unexpectedError_message	Unexpected error.\nReturning to title.
garupaCup_deckSelect_areaItemBonusCaution	※Area Item Bonuses disabled.
garupaCup_deckSelect_bandDescription	Specified Bands Only
garupaCup_deckSelect_caution	Member stats have been adjusted for the Girls Band Party! Cup.\nSkills will not be used in Girls Band Party! Cup live plays.\nNeither EXP nor item prizes will be received on clearing live shows.
garupaCup_result_secondQualificationDescription	Players participating in the Tokyo Big Sight\nLive Arena Qualifiers should not leave this screen\nuntil the staff have calculated all results.
garupaCup_situationDetail_description	Member stats have been adjusted for the Girls Band Party! Cup.\nSkills will not be used in Girls Band Party! Cup live plays.
garupaCup_secondQualification_openDate	Live Arena Qualifying Period
garupaCup_tutorialSlide_title	ガルパ杯　１次予選に参加しよう！
header_mainTitle_band	Band
header_mainTitle_bandStory	Band Story
header_mainTitle_challengeLive	Live Challenge
header_mainTitle_event	Event
header_mainTitle_exchange	Exchange
header_mainTitle_freeLive	Free Live
header_mainTitle_friendList	Friends
header_mainTitle_gacha	Gacha
header_mainTitle_garupaCup	Girls Band Party! Cup
header_mainTitle_live	Live
header_mainTitle_mainStory	Main Story
header_mainTitle_multiLive	Multi Live
header_mainTitle_notice	Notices
header_mainTitle_other	Other
header_mainTitle_present	Presents
header_mainTitle_shop	Shop
header_mainTitle_story	Story
header_mainTitle_versusLive	VS Live
header_mainTitle_warehouse	Area Items
header_mainTitle_mission	Missions
header_mainTitle_eventRewardBoxGacha	Marina's Gift Box
header_starShopBalloon_beginnerCampaign	Beginner Campaign♪
header_starShopBalloon_premiumHappyBox	Premium\nHappy Box♪
header_starShopBalloon_starIncrease	Special Campaign♪
header_subTitle_areaShop	Shop
header_subTitle_areaWarehouse	Storage
header_subTitle_bandMenu	Top
header_subTitle_bandSelect	Band Story Selection
header_subTitle_bandStorySelect	Select Band Story
header_subTitle_challengeEventDeckSelect	Confirmation
header_subTitle_costumeSelect	Select Costume
header_subTitle_deckEdit	Edit Band
header_subTitle_degreeSelect	Select Title
header_subTitle_eventBadgeExchange	Badge Exchange
header_subTitle_exchangeList	Select Exchange
header_subTitle_freeLiveDeckSelect	Your Bands
header_subTitle_freeLiveMusicSelect	Select a Song
header_subTitle_friendList	Friend List
header_subTitle_gachaResult	Gacha Results
header_subTitle_gachaTop	Top
header_subTitle_inventory	Items
header_subTitle_liveCostume	Costumes
header_subTitle_liveSelect	Select Live
header_subTitle_mainStorySelect	Select Main Story
header_subTitle_memberList	Member List
header_subTitle_multiLiveDeckSelect	Confirmation
header_subTitle_multiLiveLevelSelect	Select Room
header_subTitle_multiLiveMusicSelect	Song Requests
header_subTitle_multiLiveMutching	Matching
header_subTitle_multiLiveShuffle	Shuffle Songs
header_subTitle_musicShop	Music Shop
header_subTitle_noticeDetail	Notice Details
header_subTitle_noticeList	Notices
header_subTitle_presentList	List
header_subTitle_profile	Profile
header_subTitle_profile_others	Profile
header_subTitle_ranking	Event Pts Ranking
header_subTitle_reward	Event Pts Prizes
header_subTitle_scoreRanking	Score Ranking
header_subTitle_scoreRankingReward	Score Ranking Prizes
header_subTitle_situationDetail	Member Details
header_subTitle_skillPractice	Skill Practice
header_subTitle_skillPracticeList	Select Skill Practice Members
header_subTitle_specialTraining	Training
header_subTitle_storySelect	Select Story
header_subTitle_training	Practice
header_subTitle_waitingRoom	Waiting Room
header_subTitle_mission	Missions
label_nickName_placeholder	Nickname (20 characters)
live_musicSelect_achievementButton	Rewards
live_musicSelect_lockMusic	This song is locked.
live_musicSelect_selectDifficulty	Select Difficulty
live_musicSelect_musicHighScoreRating	High Score Rating
live_soloLiveLoading_dataDownLoading	Loading...
live_reward_liveBoost	All EXP
live_reward_liveBoostEffectText	Prizes / EXP
liveTop_buttonName_eventTop	Event Top
loginBonus_message_costumeNameFormat	Costume "{0}"
loginBonus_message_getItem	{0} received!
loginBonus_period_dateFormat	Ends: {0}
map_presentList_deliveryDate	Date
map_presentList_expiredAt	Expires
map_presentList_receivedDate	Accepted
map_presentList_giveButton	Accept
map_presentList_bulkReceiptButton	Accept All
map_presentList_tabNotReceived	New Gifts
map_presentList_tabReceived	Accepted
menuList_notice_button	Notices
menuList_home_button	Home
menuList_myProfile_button	Profile
menuList_album_button	Album
menuList_friendList_button	Friends
menuList_exchange_button	Exchange
menuList_inventory_button	Items
menuList_option_button	Options
menuList_achievement_button	Achievements
menuList_starShop_button	Star\nShop
menuList_playerStar_button	Your\nStars
menuList_takeOverData_button	Data\nTransfer
menuList_help_button	FAQ
menuList_support_button	Support
menuList_termsOfService_button	Terms of Use
menuList_title_button	Back to\nTitle
memorialStory_storyCell_eventPublishAt	{0}/{1}/{2}~
memorialStory_storySelect_message	Select the story you want to watch.
mission_complete_notice	Mission Clear!
mission_tab_normal	Regular
mission_tab_event	Limited
mission_bulk_receive	Accept All
mission_detail_button	Details
mission_receive_button	Accept
mission_noMissionNormal_message	No Regular Missions available.
mission_noMissionEvent_message	No Limited Missions available.
mission_transitionButton_live	Live
mission_transitionButton_practice	Practice
mission_transitionButton_story	Story
mission_transitionButton_training	Training
mission_transitionButton_member	Members
mission_transitionButton_skillPractive	Skill Practice
mission_transitionButton_map	Map
mission_transitionButton_costume	Costumes
mission_transitionButton_profile	Profile
mission_transitionButton_friend	Friends
multiPlay_abDownloadRetryableError_message	Connection error.\nPlease try again.
multiPlay_deckSelect_message	Select a difficulty and tap "Ready!"
multiPlay_entrance_lockRoomMessage	Raise your\nMain Band's Power!
multiPlay_entrance_outOfTerm	Daily Rooms are currently closed.\nPlease see the notices for details.
multiPlay_ingameError_message	Connection was interrupted.\nReturning to home screen.
multiPlay_limitedTimeOverDialog_title	Expired
multiPlay_limitedTimeOverDialog_contents	This room will be disbanded.
multiPlay_liveReward_waitingMessage	Waiting for other members...
multiPlay_matching_decideButton	Start Now
multiPlay_matching_liveDifficultyCaption	Room
multiPlay_matching_memberDecision	Your band is ready! Select a song!
multiPlay_matching_nextDifficulty	Your band is ready! Select a difficulty!
multiPlay_matching_rewardTypeCaption	Type
multiPlay_matching_waitingMessage	Matching... Please wait while we find more band members!
multiPlay_messageSelectDifficulty_label	Select a difficulty and tap "Ready!"
multiPlay_messageWaitingMember_label	Waiting for other members to choose their difficulties!
multiPlay_musicSelect_randomSelect	Song selection set to random!
multiPlay_musicShuffle_musicDecision	Song has been chosen! Choose a difficulty!
multiPlay_musicShuffle_waitingForMember	Waiting for other members to choose their songs!
multiPlay_result_canNotApplyButtonLabel	Request unavailable.
multiPlay_result_membersScore	Member Scores
multiPlay_result_membersScore2lines	Member\nScores
multiPlay_result_waitingMember	Waiting for other members to finish...
multiPlay_roomDisconnected_message	Connection was interrupted.\nReturning to room select.
multiPlay_roomEntryFailed_message	Connection not found.\nPlease try again from a stable network.
multiPlay_roomEntryPhotonError_message	Connection error.\nPlease try again from a stable network.
multiPlay_roomNetworkError_message	Connection error.\nReturning to room select.\nPlease try again from a stable network.
multiPlay_roomNetworkError_messageToHome	Connection was interrupted.\nReturning to home screen.
multiPlay_userCell_notSelectState	Selecting...
multiPlay_userCell_selectedState	Ready!
multiPlay_userCell_selectingMusic	Selecting...
multiPlay_userCell_selectedMusic	OK!
multiPlay_userCell_waitingEmptyState	Finding members...
multiPlay_userCell_waitingState	Waiting...
multiPlay_userDownloadProgress_done	Ready♪
multiPlay_userDisconnected_message	  lost connection.\nReturning to room select.
multiPlay_userDisconnected_messageWithName	{0} lost connection.\nReturning to room select.
multiPlay_versusMatchingType_event	Event Songs
multiPlay_versusMatchingType_select	Free Songs
multiPlay_waitingUser_message	Waiting for other members...
musicSelect_musicInfoTabCaption_difficulty	Select Difficulty
musicSelect_musicInfoTabCaption_howToGet	Unlock
myProfile_contentCaption_clearMusicNum	Cleared Songs
myProfile_contentCaption_fullComboMusicNum	Full Combos
myProfile_contentCaption_comment	Comment
myProfile_contentCaption_playerName	Player Name
myProfile_contentCaption_rank	Rank
myProfile_closedCaption_message	Hidden
myProfile_closedCaption_word	Hidden
myProfile_buttonCaption_changeDegree	Change Title
notice_insideGame_title	Game Notices
notice_outsideGame_title	BanG Dream! Notices
notice_maintenance_title	Maintenance Info
presentList_logEmpty_message	No presents accepted in the past week.
presentList_noData_message	No presents received.
rhythmgame_skillTelop_playEncoreSkill	Skill Encore!
rhythmgame_skillTelop_playMultiSkill	[FDE333]{0}[-]\nSkill Active!
rhythmgame_skillTelop_playMultiEncoreSkill	[FDE333]{0}[-]\nSkill Encore!
rhythmgame_skillTelop_playSkill	Skill Active!
rhythmgame_titleBoard_arranger	Arrangement:
rhythmgame_titleBoard_lyricist	Lyrics:
rhythmgame_titleBoard_composer	Composer:
stamp_rareStamp_notHaveStamp	No Rare Stamp owned.
stamp_rareStamp_obtainingRoute	Rare Stamp can be obtained through Events.
stamp_tabName_history	History
stamp_tabName_rare	Rare Stamp
stamp_tabName_standard	Stamp
story_select_captionSynopsis	Synopsis
story_select_howToGet	Unlock
story_select_lock	This story is locked.
story_select_noStory	No stories available.
story_select_readButton	Watch
story_select_releaseConditionBand	・Unlocked at {0}\nBand Rank {0}.
story_select_releaseConditionAllBand	・Unlocked at\nall bands reaching\nBand Rank {0}.
story_select_transitionMemorialStoryMessage	Continue to watch this band's\nantics through their Story Memories.
story_select_transitionMemorialStory	To Story Memories
story_select_lockMessageLater	・After some time has passed.
story_select_lockMessageAllBandRank	・When all bands reach Band Rank {0}.
story_select_lockMessageBandRank	・When {0} reaches Band Rank {1}.
story_select_lockMessageUserRank	・When you reach Player Rank {0}.
storyEvent_complete_story	All stories have been unlocked.
storyEvent_ranking_description	In the case of an Event Pts tie, the first to record the score will be placed higher.
storyEvent_ranking_tabMyRank	Your Rank
storyEvent_ranking_tabTopXXX	Top 10
storyEvent_ranking_noDataWithMyRank	You have not taken part in this Event.
storyEvent_ranking_noDataWithTopXXX	Rankings are currently being calcualted.
storyEvent_requireNextStory	Next Story
storyEvent_result_baseEventPoint	Total Event Pts
storyEvent_result_gotEventPoint	Event Pts Earned
storyEvent_result_gotEventBadges	Badges Earned
storyEvent_result_gotEventMedals	Medals Earned
storyEvent_result_memberBonus	Member Bonus
storyEvent_result_nextEventPoints	Next Event Pts Prize
storyEvent_result_requireNextEventFormat	{0}
storyEvent_result_scoreBonus	Score Bonus
storyEvent_result_usedLiveBoost	Live Boosts Used
storyEvent_reward_pickUpMemberButton	Spotlight Member
storyEvent_reward_rankingRewardDescription	Ranking Prizes can be received by logging in to the game within two weeks of the Event ending.
storyEvent_reward_tabRankingReward	Ranking Prizes
storyEvent_reward_tabTotalEventPointReward	Event Pts Prizes
storyEvent_reward_totalEventP	Total Event Pts
storyEvent_eventLoginReward_dialogPopup	Event Login Bonus
storyEvent_eventLoginReward_received	Present received!\n※The next present will become available after <#8:00#>.
storyEvent_story_description	Watch Event Stories!
storyEvent_exchange_description	Get new items!
storyEvent_exchange_limitBalloon	 available
bandstory_rewardList	Band Rank Prizes
tutorial_slideTitle_a	Let's begin!
tutorial_slideTitle_b	Learn how to play a live show!
tutorial_slideTitle_c	It's over! Very well done♪
tutorial_slideTitle_d	Watch a random conversation!
tutorial_slideTitle_e	Tutorial cleared!
tutorial_slideTitle_areaItemEnter	Buy an Area Item!
tutorial_slideTitle_areaItemPurchase	Area Item has been set!
tutorial_slideTitle_Costume	Change a character's costume!
tutorial_slideTitle_Exchange	Get some useful items at the Exchange!
tutorial_slideTitle_friend	Make some Friends!
tutorial_slideTitle_multiPlay	Perform with other players in Multi Live!
tutorial_slideTitle_musicShop	Get hold of new songs!
tutorial_slideTitle_training	Train your band members!
tutorial_slideTitle_bandStory	Watch a Band Story!
tutorial_slideTitle_practice	Practice with your band members!
tutorial_slideTitle_situationDetail	Watch an Episode!
tutorial_slideTitle_skillPractice	Try out Skill Practice!
tutorial_slideWindow_liveButton	You got new songs!\nTry them out at a live show♪
tutorial_slideWindow_storyButton	Follow the Main Story\nfrom the Story screen♪
versusEvent_result_noBonusMember_Description	In VS Live Events, your Perform Pts,\nbased on your performance rank within the band,\nwill be added to your score bonus,\ncalculated from your song score,\nto form the total number of Event Pts received.
versusEvent_top_attention	You cannot earn Event Pts from any mode other than VS Live.
warehouse_checkEffect	Check Effects
warehouse_checkEffectTitle	Area Item Effects
warehouse_checkEffectTitleAfter	Area Items Switched
warehouse_notHave	You do not own any\nArea Items to set in this area.
warehouse_recommend	Auto Set
word_achievementFee	Rewards
word_actOnSettlement	資金決済に基づく表記
word_areaItemBonus	Area Item Bonus
word_attribute_cool	Cool
word_attribute_happy	Happy
word_attribute_powerful	Powerful
word_attribute_pure	Pure
word_all	All
word_band	Band
word_bandEdit	Edit Band
word_bandParameter	Band Stats
word_bandrank	Band Rank
word_bandrankEXP	Band Rank EXP
word_betweenFrom	~
word_birthDay	Birthday
word_buy	Buy
word_canNotApplyFriendRequest	Request unavailable.
word_change	Change
word_challengeOK	Challenge Available
word_challengeNG	Challenge Complete
word_challengeLive	Live Challenge
word_challengeLiveBonus	Live Challenge Bonus
word_coin	Coins
word_coinCount	Coins x {0}
word_confirm	Confirmation
word_countNum	 x {0}
word_countUnit	times
word_constellation	Star Sign
word_contribution_points	Perform Pts
word_copy	Copy
word_copyId	Copy ID
word_costume	Costume
word_currencyGuidelines	Game Currency Guidelines
word_cv	VA
word_day	 days
word_dayNumber	Day {0}
word_dateFormat_MMDDHHmm	MM/dd HH:mm
word_dateFormat_MD	M/d
word_dateFormat_yyyyMMDD	yyyy/MM/dd
word_dateFormat_yyyyMMDDHHmm	yyyy/MM/dd HH:mm
word_default	Default
word_defaultButton	Reset to\ndefault
word_degree	Title
ward_detail	Details
word_downloadingData	NOW LOADING
word_encoreButtonLabel	Encore
word_entry	Entry
word_entryUserId	Entry Player ID
word_equip_costume	Wearing
word_expire	Ends {0}
word_exOk	OK!
word_exp	EXP
word_eventHighScore	Event High Score
word_eventScore	Event Score
word_event_item_badge_count	
word_favoriteFood	Favorite Food
word_free	Free
word_friend	Friend
word_alreadyInviteFriend	Request Sent
word_friendInvitation	Friend Invite
word_friendInvitationRoom	Invite Room
word_friendRelease	Remove Friend
word_friendRequest	Friend Request
word_fullVoice	Fully Voiced
word_getCP	Challenge Pts Earned
word_getExp	EXP Earned
word_hatefulFood	Least Favorite Food
word_have	Owned
word_haveCP	Challenge Pts
word_haveStar	Owned
word_highScore	High Score
word_highScoreRating	High Score Rating
word_hour	 hrs
word_hobby	Hobby
word_howToGet	Unlock
word_idSearch	ID Search
word_item	Item
word_itemCount	{0} x {1}
word_lastLoginAt	Last Login
word_lastLoginAtTime	Last Login
word_leader	Leader
word_level	Level
word_levelAndNum	Level {0}
word_levelUp	Level Up
word_life	Energy
word_liveBoost	Live Boost
word_liveBoost_limitFormat	/{0}
word_liveBoost_recoveryTimeNone	-- : --
word_liveReward	Live Prizes
word_liveSetting	Live Settings
word_liveStart	Start!
word_lv	Lv.
word_mainBandTotalParam	Main Band Power
word_max	MAX
word_medalUnit	
word_memberExp	Member EXP
word_memberUnit	{0}
word_michelleSeal	Michelle Stickers
word_michelleUnit	{0}
word_minute	 mins
word_modeNormal	Regular
word_modeEvent	Event
word_modeSpecial	Special
word_moreThan	+
word_music	Song
word_musicTag_cover	Cover
word_musicTag_original	Original
word_musicLevel	Song Level
word_nothing	None
word_notPublish	Hidden
word_off	OFF
word_on	ON
word_open	Open
word_other	Other
word_p	Pts
word_paid	Paid
word_paidstar	Paid Stars
word_part	Part
word_percentage	%
word_place	Area
word_playDate	Play Time
word_player	Player
word_playerId	Player ID
word_possessionChallengeP	Challenge Pts
word_possessionMedalFormat	{0}
word_private	Private
word_privateUnlockFinish	Room Opened
word_putItem	Set
word_qualificationtTotalHighScore	Total Qualifying Score
word_qualificationtHighScore	Qualifying Score
word_qualificationtSecondScore	Arena Qualifying Score
word_randomSelect	Random
word_rankExp	Rank EXP
word_rankGrade	
word_rankGradeFromAtoB	{0}?{1}
word_ranking	Ranking
word_readyOk	Ready!
word_recommend	Auto
word_recommendDeck	Auto Band
word_remain	Left
word_require	Needed
word_requireItem	Items Needed
word_requestCancel	Cancel Request
word_reset	Reset
word_rest	in
word_reward	Prizes
word_rewardList	Prizes
word_rewardItemName	Items Received
word_rule	Rules
word_unlock_room	Open Room
word_unlock_room_finish	Room Opened
word_school	School
word_school_middle	
word_school_high	HS
word_schoolYear	Student
word_schoolYearSuffix	Year
word_secret	???
word_selfIntroduction	About Me
word_score	Score
word_scoreRank	Score Rank
word_second	 secs
word_select	Select
word_selected	Selected
word_skill	Skill
word_setting	Settings
word_shop	Shop
word_skillLevel	Skill Lv.
word_sort_createdAt	Date
word_sort_level	Level
word_sort_paramSumDetail	Power Details
word_sort_paramSum	Power
word_sort_paramPerformance	Performance
word_sort_paramTechnique	Technique
word_sort_paramVisual	Visuals
word_sort_rarity	Rarity
word_sort_skillLevel	Skill Lv.
word_specifiedCommercialTransactionLaw	特定商取引法に基づく表記
word_spend	Use
word_spendNo	None
word_star	Stars
word_starCount	Stars x {0}
word_starShop	Star Shop
word_start	Start
word_stamp	Stamp
word_stampRare	Rare Stamp
word_targetMusic	Target Song
word_targetScore	Target Score
word_times	x
word_times_simple	x
word_toNext	Next
word_top	Top
word_total	Total
word_totalScore	Total Score
word_training	Training
word_until	
word_untilExchange	 Ends
word_updateHighscore	New High Score!
word_usedCard	Active
word_waitEnterRoom	Waiting
ambition_word_play	Play
ambition_word_members	members
ambition_word_stickers	Stickers
ambition_inventory_emptyItemMessage	This Item can be obtained by successfully completing Live Shows.
ambition_inventory_emptyLiveBoostMessage	This Item can be obtained by completing Missions.
menuList_socialMedia_button	Social Media
dialog_liveBoostEmptyVideo_title	Ad Check
dialog_liveBoostEmptyVideo_description	You can recover 1 Live Boost by watching an ad.\nWould you like to watch an ad?
dialog_liveBoostEmptyVideo_noRecoveryButton	No Recover
dialog_liveBoostEmptyVideo_recoveryButton	Recover
dialog_liveBoostLack_emptyLiveBoostVideo	Not Available
dialog_liveBoostLack_healLBVideoButton	Ad
dialog_liveBoostRecoverVideo_title	Confirmation
dialog_liveBoostRecoverVideo_message	Watching an ad\nto recover 1 Live Boosts.\nAre you sure?
dialog_liveBoostRecoverVideo_buttonOK	Recover
dialog_liveBoostRecoverVideo_buttonCancel	Cancel
dialog_liveBoostRecoverVideoResult_title	Live Boost Recovery
dialog_liveBoostRecoverVideoResult_message	1 Live Boosts recovered!
dialog_liveBoostRecoverVideoResult_buttonOK	Start
dialog_liveSettings_systemRewardedVideo	Ad Check
dialog_liveBoostRecoverVideoEnd_title	Live Boost Recovery
dialog_liveBoostRecoverVideoEnd_message	1 Live Boosts recovered!
dialog_liveBoostRecoverVideoEnd_buttonOK	OK
dialog_liveBoostRecoverVideoFailed_title	Live Boost Recovery
dialog_liveBoostRecoverVideoFailed_message	Live Boost was not awarded successfully.\nLive Boost may be awarded upon logging back in if you watched the video until the end.
dialog_liveBoostRecoverVideoFailed_buttonOK	OK
