tutorialarea_shop_title,販售物一覽
dialog_rewardAreaItem_talk,發生對話
dialog_rewardAreaItem_areaItemEffect,地區道具效果
dialog_rewardItem_message,獲得報酬！
dialog_rewardMusic_message,「{0}」\n新樂曲解鎖了！
dialog_rhythmAdjust_title,判定調整
dialog_rhythmAdjust_resultEnd,END
dialog_rhythmAdjust_resultStart,START
dialog_rhythmAdjust_message,請配合音樂點擊圖示。
dialog_rhythmAdjustReady_adjustButton,調整
dialog_rhythmAdjustReady_message,調整節奏圖示的判定時間點。\n請配合音樂點擊圖示。
dialog_rhythmAdjustReady_title,判定調整
dialog_rhythmAdjustDone_title,調整完畢
dialog_rhythmAdjustDone_retakeButton,再次調整
dialog_rhythmAdjustDone_decideButton,套用設定
dialog_rhythmgameGameOverContinue_title,繼續
dialog_rhythmgameGameOverContinue_message,確定要消耗{0}個STAR\n使Life全回復並繼續嗎？
dialog_rhythmgameGameOverGarupaCup_message,體力已經消耗殆盡。\n在GBP盃中是無法進行接關的。\n將回到GBP盃的TOP頁面。
dialog_rhythmgameGameOver_title,LIVE失敗
dialog_rhythmgameGameOver_message,Life已用盡。\n要消耗{0}個Star，\n讓Life全部恢復並繼續嗎？
dialog_rhythmgameGameOver_continueButton,繼續
dialog_rhythmgameGameOver_retireButton,放棄
dialog_rhythmgameGameOverLackOfStar_message,Star不足，\n無法繼續。
dialog_rhythmgameGameOverLackOfStar_title,Star不足
dialog_rhythmgameGameOverRetire_message,放棄的話，就無法獲得LIVE報酬。\n已消耗的LIVE Boost無法恢復。
dialog_rhythmgameGameOverRetire_challengeLiveMessage,放棄的話，就無法獲得LIVE報酬。\n已消耗的挑戰P無法恢復，\n確定要執行嗎？
dialog_rhythmgameGameOverRetire_title,放棄
dialog_rhythmgamePause_body,確定要中斷LIVE回到主頁嗎？\n※已消耗的LIVE Boost無法恢復※
dialog_rhythmgamePause_challengeLiveBody,確定要中斷LIVE回到主頁嗎？\n※已消耗的挑戰P無法恢復※
dialog_rhythmgamePause_resume,繼續
dialog_rhythmgamePause_retire,中斷
dialog_rhythmgamePause_title,暫停
dialog_rhythmgamePause_garupaCupBody,{0}確定要中斷ＬＩＶＥ\n並回到GBP盃的TOP頁面嗎？[-]\n{1}※挑戰次數是無法回復的。[-]
dialog_scenario_skip,確定要跳過故事嗎？
dialog_scenario_skipTitle,SKIP
dialog_skillPracticePrePractice_message1,於休息室內被選擇的團員將會消失。\n確定要進行技能練習嗎？
dialog_skillPracticePrePractice_message2,選擇中有包含★3以上的團員。
dialog_situationTrainingPreTraining_message,確定要消耗選擇的Ticket進行練習嗎？
dialog_situationTrainingPreTraining_message2,※選擇了其他角色專用的\n技能練習券。
dialog_situationTrainingPreTraining_title,確定
dialog_storyConfirm_message,要下載語音資料後\n觀看故事嗎？
dialog_storyConfirm_title,開啟故事
dialog_storyReward_title,故事達成報酬
dialog_soloLiveLackOfMember_message,進行LIVE需要５位團員。\n請編組樂團。
dialog_soloLiveLackOfMember_title,團員不足
dialog_sort_captionAttribute,用屬性篩選
dialog_sort_captionBand,用樂團篩選
dialog_sort_sortingOrder,排序
dialog_specialTraining_title,確定
dialog_specialTrainingParamUp_title,特訓結果
dialog_specialTraining_message,確定要消耗道具，\n特訓[{0}]{1}嗎？
dialog_starShop_actOnSettlement,依資金決濟法\n記載說明
dialog_starShop_notPermitPurchase,無法購買。請確認裝置設定。
dialog_starShop_buyableCount,還剩{0}次
dialog_starShop_buyableCountOneTime,只限１次
dialog_starShop_buyablePeriod,至{0}為止
dialog_starShop_buyPremiumPass,購買
dialog_starShop_buyStarFormat,NTD.{0}
dialog_starShop_currencyGuidelines,遊戲內貨幣\n說明
dialog_starShop_detailButton,詳細
dialog_starShop_salesPeriod,販售期間
dialog_starShop_limitedButton,限定
dialog_starShop_liveBoost,LIVE\nBoost
dialog_starShop_liveBoostDescription3,恢復３個LIVE Boost
dialog_starShop_liveBoostDescription10,恢復１０個LIVE Boost
dialog_starShop_premiumPassButton,Premium\nHappyＢＯＸ
dialog_starShop_premiumPassGiveTiming,1天1次禮物
dialog_starShop_premiumPassPeriod,Premium通行證的有效期限至{0}日。
dialog_starShop_premiumPassRestCount,[FF395A]還剩{0}次[-]
dialog_starShop_purchased,[FF395A]購買完畢[-]\n[606060]有效期限　還有{0}[-]
dialog_starShop_purchasedLabel,購買完畢
dialog_starShop_recoverLiveBoost,恢復
dialog_starShop_specifiedCommercialTransactionsLaw,依特定商取引法的\n記載說明
dialog_starShop_starCampaignBalloon,活動中!
dialog_starShop_title,Star Shop
dialog_takeOver_clipboard,引繼ID\n{0}\n密碼\n{1}
dialog_takeOver_descriptionReset,轉出資料已設定完畢。\n\n再次設定的話，先前的轉出設定會消失。\n確定要執行嗎？
dialog_takeOver_descriptionSettingFinish,[FE2349]引繼ID‧密碼因安全上的考量，\n關閉畫面後就不會再次顯示。[-]\n[505050FF]請透過截圖等方式妥善保存。[-]
dialog_takeOver_descriptionSetting,「資料引繼」時需要\n引繼ID和密碼。\n請設定密碼。
dialog_takeOver_descriptionTakeoverId,（密碼設定後會自動產生）
dialog_takeOver_descriptionSettingWarning,[505050FF]※引繼ID不會變更，但輸入的密碼只能使用一次\n[FE2349]※在不同OS平台轉移的話，\n所持的付費Star會消失，敬請特別注意。[-]
dialog_takeOver_descriptionSettingCopy,複製ID‧密碼
dialog_takeOver_errorInvalidPassword,文字有錯。\n密碼請輸入半形英文數字。
dialog_takeOver_errorPasswordLimit,請輸入8〜16個字\n的半形英文數字。
dialog_takeOver_passwordLimit,※半形英文數字8〜16個字
dialog_takeOver_reset,再次設定
dialog_takeOver_titleSetting,資料轉出設定
dialog_takeOver_titleSettingFinish,資料轉出設定完畢
dialog_totalParam_title,總合力詳細說明
dialog_totalParam_bandParameter,樂團數值
dialog_totalParam_bonusAreaItem,區域道具報酬
dialog_trainingError_message,練習失敗了。
dialog_unlockArea_contentsText,「{0}」在地圖上解鎖了！
dialog_unlockArea_title,區域解鎖
dialog_unlockAreaItem_contentsText,「{0}」的{1}\n「{2}」進貨了！
dialog_unlockAreaItem_title,區域道具解鎖
dialog_unlockBandStory_contentsText,{0}的樂團故事\n「{1}」解鎖！
dialog_unlockBandStory_title,樂團故事解鎖
dialog_unlockEventStory_contentsText,活動故事\n「{0}」解鎖！
dialog_unlockEventStory_title,活動故事解鎖
dialog_unlockMainStory_contentsText,第{0}季 主線故事\n「{1}」已解鎖！
dialog_unlockMainStory_title,主線故事解鎖
dialog_unlockPrivateRoom_title,私人房間開放
dialog_unlockPrivateRoom_description,[505050]確定要開放房間\n募集團員嗎？[-]
dialog_unlockPrivateRoom_descriptionWarning,[505050]確定要開放房間\n募集團員嗎？[-]\n\n[FE2349]※有團員在等待進入房間。[-]
dialog_unlockPrivateRoom_cantUse,房間開放功能需有2位以上團員\n方可使用。
dialog_userRankReward_title,ＲＡＮＫ詳細
dialog_userRankReward_descriptionTitle,ＲＡＮＫ報酬一覽
dialog_userRankReward_friendLimitDescription,好友數上限　{0} → {1}
dialog_userRankReward_mainStoryDescription,第{0}季 主線故事{1}
dialog_waitingRoomExchangeConfirm_body,確定要用休息室的{0}位團員\n交換米歇爾貼紙 {1}枚嗎？
dialog_situationExchange_detailCaption,休息室團員詳細資訊
dialog_waitingRoomExchangeDone_title,交換完畢
dialog_waitingRoomExchangeDone_body,使用團員\n交換米歇爾貼紙了。
dialog_webViewPickUpMember_title,PICK UP團員
dialog_weekdayRoomInvalidError_message,今日已經超過時間。\n移動至LIVE選擇畫面。
dialog_versusLBWarning_title,LIVE Boost消費確認
dialog_versusLBWarning_description,[505050]共演LIVE中，[-][FE2B4B]將會於配對完成時\n消耗LIVE Boost[-][505050]。\n確定要執行嗎?[-]
dialog_versusLBWarning_addDescription,[505050]\n\n※會優先配對\n總合力相近的玩家。[-]
dialog_versusLBWarning_notDisplay,本活動後不會再次顯示
dialog_versusPrivateRoom_eventRoom,活動樂曲房間
dialog_versusPrivateRoom_selectRoom,共同選曲房間
event_menu_auto,AUTO
event_menu_log,LOG
event_menu_menu,選單
event_menu_skip,快轉
event_menu_skipAll,SKIP
exchangeList_description_body,請選擇交換所
exchangeList_cell_expire,[505050]交換期限[-][FF3B71]{0}[-] [505050]為止[-]
friendList_cell_approvalButtonLabel,同意
friendList_cell_lastLoginAtLessOneHour,1小時以內
friendList_cell_lastLoginAtLessSixHour,6小時以內
friendList_cell_lastLoginAtLessThreeHour,3小時以內
friendList_cell_lastLoginAtLessTwelveHour,12小時以內
friendList_cell_lastLoginAtLessTwentyFourHour,24小時以內
friendList_cell_lastLoginAtMoreThanOneMonthAgo,1個月以上前
friendList_cell_lastLoginAtOneDayOrMoreSuffix,{0}天前
friendList_cell_rejectionButtonLabel,拒絕
friendList_contents_emptyMessageApplication,並沒有申請中的玩家。
friendList_contents_emptyMessageApproval,並沒有等待同意的玩家。
friendList_contents_emptyMessageFriend,沒有好友。
friendList_contents_numberOfPeopleSeparator,/
friendList_sortingType_rank,ＲＡＮＫ
friendList_sortingOrder_asc,升序排列
friendList_sortingOrder_desc,降序排列
friendList_tab_friendList,好友清單
friendList_tab_applyList,申請中清單
friendList_tab_approvalList,等待同意清單
gacha_result_spinButton,再抽1次
gacha_result_omakeTitle,獲得套組內容
gacha_result_omakeContent,套組內容已經送至禮物箱了。
gacha_top_step,STEP\n{0}/{1}！
gacha_top_timesOnly,{0}次限定
gacha_top_omakeSet,一起以套組獲得吧！
gacha_top_oneTimeOnlyDaily,1天1次\n限定！
gacha_top_restCount,還剩\n{0}次
gacha_top_spinPaid,用付費Star!
gacha_top_spinButton,{0}次轉蛋
gacha_top_spinButtonPaid,{0}次轉蛋\n(付費STAR)
gacha_top_spinButtonLock_once_a_day,今天的額度已經\n抽完了。\n4點時將會重置。
gacha_unexpectedError_message,發生無法預期的錯誤。\n回到標題畫面。
garupaCup_deckSelect_areaItemBonusCaution,※區域道具獎勵無效
garupaCup_deckSelect_bandDescription,只能以指定的樂團進行遊戲
garupaCup_deckSelect_caution,團員的所有數值都是GBP盃專用的。\n在GBP盃中並不會發動技能。\nＬＩＶＥ通關後也不會有經驗值以及通關報酬。
garupaCup_result_secondQualificationDescription,為了華山１９１４文化創意產業園區會場的預賽必須於此參加並突破第一次預賽\n在工作人員統計完成之前，請於這個畫面稍後。
garupaCup_situationDetail_description,團員的所有數值都是GBP盃專用的。\n在GBP盃中並不會發動技能。
garupaCup_secondQualification_openDate,會場預賽進行期間
garupaCup_tutorialSlide_title,參加　GBP盃的第１次預賽吧！
header_mainTitle_band,樂團
header_mainTitle_bandStory,樂團故事
header_mainTitle_challengeLive,挑戰LIVE
header_mainTitle_event,活動
header_mainTitle_exchange,交換所
header_mainTitle_freeLive,Free LIVE
header_mainTitle_friendList,好友
header_mainTitle_gacha,轉蛋
header_mainTitle_garupaCup,GBP盃
header_mainTitle_live,LIVE
header_mainTitle_mainStory,主線故事
header_mainTitle_multiLive,協力LIVE
header_mainTitle_notice,公告
header_mainTitle_other,其他
header_mainTitle_present,禮物
header_mainTitle_shop,商店
header_mainTitle_story,故事
header_mainTitle_versusLive,共演LIVE
header_mainTitle_warehouse,區域道具
header_mainTitle_mission,任務
header_mainTitle_eventRewardBoxGacha,麻理奈小姐的獎勵箱
header_starShopBalloon_beginnerCampaign,新手限定活動中♪
header_starShopBalloon_premiumHappyBox,Premium HappyBOX♪
header_starShopBalloon_starIncrease,優惠活動中♪
header_subTitle_areaShop,商店
header_subTitle_areaWarehouse,倉庫
header_subTitle_bandMenu,ＴＯＰ
header_subTitle_bandSelect,選擇樂團故事
header_subTitle_bandStorySelect,選擇樂團故事
header_subTitle_challengeEventDeckSelect,最終確認
header_subTitle_costumeSelect,選擇服裝
header_subTitle_deckEdit,編組樂團
header_subTitle_degreeSelect,選擇稱號
header_subTitle_eventBadgeExchange,胸章交換所
header_subTitle_exchangeList,選擇交換所
header_subTitle_freeLiveDeckSelect,確定樂團
header_subTitle_freeLiveMusicSelect,選擇樂曲
header_subTitle_friendList,一覽
header_subTitle_gachaResult,轉蛋結果
header_subTitle_gachaTop,ＴＯＰ
header_subTitle_inventory,所持物
header_subTitle_liveCostume,LIVE服裝
header_subTitle_liveSelect,選擇LIVE
header_subTitle_mainStorySelect,選擇主線故事
header_subTitle_memberList,團員一覽
header_subTitle_multiLiveDeckSelect,最終確認
header_subTitle_multiLiveLevelSelect,選擇房間
header_subTitle_multiLiveMusicSelect,點歌
header_subTitle_multiLiveMutching,配對
header_subTitle_multiLiveShuffle,樂曲隨機播放
header_subTitle_musicShop,樂曲商店
header_subTitle_noticeDetail,公告內容
header_subTitle_noticeList,公告一覽
header_subTitle_presentList,一覧
header_subTitle_profile,個人資料
header_subTitle_profile_others,個人資料
header_subTitle_ranking,排名
header_subTitle_reward,報酬
header_subTitle_scoreRanking,SCORE排名
header_subTitle_scoreRankingReward,SCORE排名報酬
header_subTitle_situationDetail,團員詳細說明
header_subTitle_skillPractice,技能練習
header_subTitle_skillPracticeList,選擇技能練習團員
header_subTitle_specialTraining,特訓
header_subTitle_storySelect,選擇故事
header_subTitle_training,練習
header_subTitle_waitingRoom,休息室
header_subTitle_mission,任務一覧
label_nickName_placeholder,暱稱（10個字以內）
live_musicSelect_achievementButton,達成報酬
live_musicSelect_lockMusic,這首樂曲尚未解鎖
live_musicSelect_selectDifficulty,選擇難易度
live_musicSelect_musicHighScoreRating,樂曲HIGH SCORE RATING
live_soloLiveLoading_dataDownLoading,讀取中…
live_reward_liveBoost,所有EXP
live_reward_liveBoostEffectText,報酬‧EXP
liveTop_buttonName_eventTop,活動首頁
loginBonus_message_costumeNameFormat,服裝「{0}」
loginBonus_message_getItem,獲得{0}！
loginBonus_period_dateFormat,舉辦期間至　MM/dd　HH:mm為止
map_presentList_deliveryDate,獲得日期
map_presentList_expiredAt,領取期限
map_presentList_receivedDate,領取日期時間
map_presentList_giveButton,領取
map_presentList_bulkReceiptButton,全部領取
map_presentList_tabNotReceived,未領取
map_presentList_tabReceived,已領取
menuList_notice_button,公告
menuList_home_button,主頁
menuList_myProfile_button,個人資料
menuList_album_button,相簿
menuList_friendList_button,好友
menuList_exchange_button,交換所
menuList_inventory_button,所持物
menuList_option_button,設定
menuList_achievement_button,實績
menuList_starShop_button,Star\nShop
menuList_playerStar_button,所持Star\n確認
menuList_takeOverData_button,資料轉出
menuList_help_button,FAQ
menuList_support_button,支援
menuList_termsOfService_button,使用條款
menuList_title_button,前往\n標題/引繼
memorialStory_storyCell_eventPublishAt,{0}年{1}月{2}日〜
memorialStory_storySelect_message,閱讀樂團故事後，更能享受活動故事的樂趣唷
mission_complete_notice,任務達成！
mission_tab_normal,普通
mission_tab_event,期間限定
mission_bulk_receive,全部領取
mission_detail_button,詳細
mission_receive_button,領取
mission_noMissionNormal_message,目前沒有可以挑戰的普通任務。
mission_noMissionEvent_message,目前沒有可以挑戰的期間限定任務。
mission_transitionButton_live,LIVE
mission_transitionButton_practice,練習
mission_transitionButton_story,故事
mission_transitionButton_training,特訓
mission_transitionButton_member,團員
mission_transitionButton_skillPractive,技能練習
mission_transitionButton_map,地圖
mission_transitionButton_costume,服裝
mission_transitionButton_profile,個人資料
mission_transitionButton_friend,好友
multiPlay_abDownloadRetryableError_message,發生連線錯誤。\n請再次連線。
multiPlay_deckSelect_message,選擇難易度後，請點擊「準備結束！」！
multiPlay_entrance_lockRoomMessage,提升主要樂團的\n總合力吧！
multiPlay_entrance_outOfTerm,每日房間目前尚未開放。\n詳細請參考公告。
multiPlay_ingameError_message,連線中斷。\n將回到主頁。
multiPlay_limitedTimeOverDialog_title,限制時間逾時
multiPlay_limitedTimeOverDialog_contents,解散房間。
multiPlay_liveReward_waitingMessage,等待其他團員...
multiPlay_matching_decideButton,確定團員
multiPlay_matching_liveDifficultyCaption,房間
multiPlay_matching_memberDecision,決定好團員了！　選擇歌曲吧！
multiPlay_matching_nextDifficulty,確定團員了！　選擇難易度吧！
multiPlay_matching_rewardTypeCaption,房間類型
multiPlay_matching_waitingMessage,配對中......團員湊齊前要稍等一下喔！
multiPlay_messageSelectDifficulty_label,選擇難易度後，請點擊「準備結束！」！
multiPlay_messageWaitingMember_label,其他團員正在選擇難易度中！ 請稍等一下喔！
multiPlay_musicSelect_randomSelect,樂曲設定成系統自選！
multiPlay_musicShuffle_musicDecision,樂曲確定了！　選擇難易度吧!
multiPlay_musicShuffle_waitingForMember,其他團員還在選擇樂曲，請稍等一下喔！
multiPlay_result_canNotApplyButtonLabel,無法申請
multiPlay_result_membersScore,團員的SCORE
multiPlay_result_membersScore2lines,團員的\nSCORE
multiPlay_result_waitingMember,等待演奏中的團員......
multiPlay_roomDisconnected_message,連線中斷。\n回到房間選擇畫面。
multiPlay_roomEntryFailed_message,網路無法連線。\n請至連線狀態良好處再次嘗試。
multiPlay_roomEntryPhotonError_message,發生連線錯誤。\n請至連線狀態良好處再次嘗試。
multiPlay_roomNetworkError_message,發現連線錯誤，\n回到房間選擇畫面。\n請至連線狀態良好處再次嘗試。
multiPlay_roomNetworkError_messageToHome,連線中斷。\n回到房間。
multiPlay_userCell_notSelectState,選擇中...
multiPlay_userCell_selectedState,準備結束!
multiPlay_userCell_selectingMusic,選曲中...
multiPlay_userCell_selectedMusic,OK!
multiPlay_userCell_waitingEmptyState,募集中...
multiPlay_userCell_waitingState,待機中…
multiPlay_userDownloadProgress_done,準備完畢♪
multiPlay_userDisconnected_message, 已中斷。\n回到房間選擇畫面。
multiPlay_userDisconnected_messageWithName,{0} 已中斷。\n回到房間選擇畫面。
multiPlay_versusMatchingType_event,活動樂曲
multiPlay_versusMatchingType_select,共同選曲
multiPlay_waitingUser_message,其他團員正在準備中......
musicSelect_musicInfoTabCaption_difficulty,選擇難易度
musicSelect_musicInfoTabCaption_howToGet,解鎖條件
myProfile_contentCaption_clearMusicNum,通關樂曲數
myProfile_contentCaption_fullComboMusicNum,FULL COMBO樂曲數
myProfile_contentCaption_comment,    自我介紹
myProfile_contentCaption_playerName,玩家名稱
myProfile_contentCaption_rank,RANK
myProfile_closedCaption_message,不公開的情報。
myProfile_closedCaption_word,不公開
myProfile_buttonCaption_changeDegree,稱號變更
notice_insideGame_title,遊戲公告
notice_outsideGame_title,少女樂團公告
notice_maintenance_title,維護資訊
presentList_logEmpty_message,沒有過去１星期已領取的禮物。
presentList_noData_message,沒有禮物可領取。
rhythmgame_skillTelop_playEncoreSkill,技能安可！
rhythmgame_skillTelop_playMultiSkill,[FDE333]{0}[-] 的\n技能發動！
rhythmgame_skillTelop_playMultiEncoreSkill,[FDE333]{0}[-] 的\n技能安可！
rhythmgame_skillTelop_playSkill,技能發動！
rhythmgame_titleBoard_arranger,編曲 : 
rhythmgame_titleBoard_lyricist,作詞 : 
rhythmgame_titleBoard_composer,作曲 : 
stamp_rareStamp_notHaveStamp,沒有稀有貼圖。
stamp_rareStamp_obtainingRoute,稀有貼圖可以透過活動等方式獲得。
stamp_tabName_history,履歷
stamp_tabName_rare,稀有貼圖
stamp_tabName_standard,基本貼圖
story_select_captionSynopsis,大綱
story_select_howToGet,解鎖條件
story_select_lock,                 這個故事尚未解鎖
story_select_noStory,沒有可以閱讀的故事。
story_select_readButton,閱讀
story_select_releaseConditionBand,・{0}\n樂團ＲＡＮＫ{0}後解放
story_select_releaseConditionAllBand,・所有的樂團的\n樂團ＲＡＮＫ為{0}以上後解放
story_select_transitionMemorialStoryMessage,團員們的活躍可於\n回憶故事觀看
story_select_transitionMemorialStory,前往回憶的故事
story_select_lockMessageLater,・一定時間後解放
story_select_lockMessageAllBandRank,・所有的樂團ＲＡＮＫ {0}以上
story_select_lockMessageBandRank,・{0}的樂團ＲＡＮＫ {1}以上
story_select_lockMessageUserRank,・玩家的ＲＡＮＫ {0}以上
storyEvent_complete_story,所有故事都已經解鎖了。
storyEvent_ranking_description,即使活動P一樣，排名也是有可能相異。
storyEvent_ranking_tabMyRank,自己的排名
storyEvent_ranking_tabTopXXX,TOP10
storyEvent_ranking_noDataWithMyRank,尚未參加本活動。
storyEvent_ranking_noDataWithTopXXX,現在正在計算排名中。
storyEvent_requireNextStory,距離下個故事還有
storyEvent_result_baseEventPoint,基本活動P
storyEvent_result_gotEventPoint,獲得活動P
storyEvent_result_gotEventBadges,獲得胸章
storyEvent_result_gotEventMedals,獲得獎章
storyEvent_result_memberBonus,團員報酬
storyEvent_result_nextEventPoints,下個活動P報酬
storyEvent_result_requireNextEventFormat,「{0}」
storyEvent_result_scoreBonus,SCORE Bonus
storyEvent_result_usedLiveBoost,消費LIVE Boost
storyEvent_reward_pickUpMemberButton,PICK UP團員
storyEvent_reward_rankingRewardDescription,排名報酬可以在活動結束後２星期內登入遊戲領取。
storyEvent_reward_tabRankingReward,排名報酬
storyEvent_reward_tabTotalEventPointReward,累計活動P報酬
storyEvent_reward_totalEventP,累計活動P
storyEvent_eventLoginReward_dialogPopup,活動登入報酬
storyEvent_eventLoginReward_received,已領取禮物！\n※下次的登入報酬禮物可於隔日4點後領取。
storyEvent_story_description,閱讀限定故事!
storyEvent_exchange_description,交換道具吧!
storyEvent_exchange_limitBalloon,為止交換可能
bandstory_rewardList,樂團ＲＡＮＫ報酬一覽
tutorial_slideTitle_a,那麼，我們開始吧！
tutorial_slideTitle_b,請記得LIVE中的操作唷！
tutorial_slideTitle_c,LIVE結束！ 辛苦囉♪
tutorial_slideTitle_d,到各個區域去看看日常會話吧！
tutorial_slideTitle_e,教學關卡通關！
tutorial_slideTitle_areaItemEnter,購買區域道具吧！
tutorial_slideTitle_areaItemPurchase,區域道具設置完成！
tutorial_slideTitle_Costume,更換角色的服裝吧！
tutorial_slideTitle_Exchange,到交換所獲得貴重品吧！
tutorial_slideTitle_friend,交些朋友吧！
tutorial_slideTitle_multiPlay,進行協力LIVE的遊戲吧！
tutorial_slideTitle_musicShop,進行歌曲的交換吧！
tutorial_slideTitle_training,將團員進行特訓吧！
tutorial_slideTitle_bandStory,觀看樂團故事吧！
tutorial_slideTitle_practice,將團員進行練習吧！
tutorial_slideTitle_situationDetail,觀看EPISODE吧！
tutorial_slideTitle_skillPractice,進行SKILL的練習吧！
tutorial_slideWindow_liveButton,增加新歌曲了唷！\n到LIVE去進行遊戲看看吧♪
tutorial_slideWindow_storyButton,主線故事的後續！\n讓我們從故事來觀看吧♪
versusEvent_result_noBonusMember_Description,共演LIVE活動中，\n依LIVE貢献排名算出的貢献P以及\n依個人SCORE算出的SCORE報酬，\n兩者合計起來便是獲得的活動P。
versusEvent_top_attention,共演LIVE以外的LIVE無法獲得活動P
warehouse_checkEffect,效果確認
warehouse_checkEffectTitle,設置區域道具效果一覧
warehouse_checkEffectTitleAfter,區域道具整體變更完畢
warehouse_notHave,沒有持有可以設置在這個場所\n的區域道具。
warehouse_recommend,推薦整體變更
word_achievementFee,達成報酬
word_actOnSettlement,支付金額的表記
word_areaItemBonus,區域道具的獎勵
word_attribute_cool,COOL
word_attribute_happy,HAPPY
word_attribute_powerful,POWERFUL
word_attribute_pure,PURE
word_all,全部
word_band,樂團
word_bandEdit,樂團編成
word_bandParameter,樂團數值表
word_bandrank,樂團RANK
word_bandrankEXP,樂團RANK EXP
word_betweenFrom,〜
word_birthDay,生日
word_buy,購買
word_canNotApplyFriendRequest,無法申請
word_change,變更
word_challengeOK,可以進行挑戰
word_challengeNG,挑戰結束
word_challengeLive,挑戰LIVE
word_challengeLiveBonus,挑戰LIVE報酬
word_coin,金幣
word_coinCount,金幣 x {0}
word_confirm,確認
word_countNum,x {0}
word_countUnit,次
word_constellation,星座
word_contribution_points,貢獻P
word_copy,複製
word_copyId,複製ID
word_costume,服裝
word_currencyGuidelines,在遊戲中的使用貨幣導覽
word_cv,CV
word_day,日
word_dayNumber,第{0}天
word_dateFormat_MMDDHHmm,MM/dd HH:mm
word_dateFormat_MD,M月d日
word_dateFormat_yyyyMMDD,yyyy/MM/dd
word_dateFormat_yyyyMMDDHHmm,yyyy/MM/dd HH:mm
word_default,初始設定
word_defaultButton,還原\n初始設定
word_degree,稱號
ward_detail,詳細
word_downloadingData,NOW LOADING
word_encoreButtonLabel,再次進行LIVE
word_entry,報名參加
word_entryUserId,報名參加用玩家ID
word_equip_costume,服裝設定中
word_expire,{0} 為止
word_exOk,OK!
word_exp,EXP
word_eventHighScore,活動HIGH SCORE
word_eventScore,活動SCORE
word_event_item_badge_count,個
word_favoriteFood,喜歡的食物
word_free,免費
word_friend,好友
word_alreadyInviteFriend,邀請中
word_friendInvitation,邀請好友
word_friendInvitationRoom,好友\n邀請房
word_friendRelease,解除好友
word_friendRequest,申請好友
word_fullVoice,全語音
word_getCP,獲得挑戰P
word_getExp,獲得EXP
word_hatefulFood,討厭的食物
word_have,所持
word_haveCP,所持挑戰P
word_haveStar,所持Star
word_highScore,HIGH SCORE
word_highScoreRating,HIGH SCORE RATING
word_hour,小時
word_hobby,興趣
word_howToGet,開放條件
word_idSearch,ID搜尋
word_item,道具
word_itemCount,{0} x {1}
word_lastLoginAt,最後登入
word_lastLoginAtTime,最後登入時間
word_leader,團長
word_level,等級
word_levelAndNum,等級 {0}
word_levelUp,等級提升
word_life,Life
word_liveBoost,LIVE Boost
word_liveBoost_limitFormat,/{0}
word_liveBoost_recoveryTimeNone,-- : --
word_liveReward,LIVE報酬
word_liveSetting,LIVE設定
word_liveStart,LIVEStart！
word_lv,Lv.
word_mainBandTotalParam,主力樂團的總合力
word_max,MAX
word_medalUnit,個
word_memberExp,團員EXP
word_memberUnit,{0}人
word_michelleSeal,米歇爾貼紙
word_michelleUnit,{0}張
word_minute,分
word_modeNormal,普通
word_modeEvent,活動
word_modeSpecial,特別
word_moreThan,以上
word_music,樂曲
word_musicTag_cover,COVER
word_musicTag_original,原創
word_musicLevel,歌曲等級
word_nothing,無
word_notPublish,不公開
word_off,OFF
word_on,ON
word_open,開放
word_other,其他
word_p,P
word_paid,付費
word_paidstar,付費Star
word_part,PART
word_percentage,%
word_place,會場
word_playDate,遊戲時間
word_player,玩家
word_playerId,玩家ID
word_possessionChallengeP,所持挑戰P
word_possessionMedalFormat,所持{0}
word_private,私人
word_privateUnlockFinish,房間開放完畢
word_putItem,設置
word_qualificationtTotalHighScore,總計預賽SCORE
word_qualificationtHighScore,預賽最高SCORE
word_qualificationtSecondScore,本次預賽SCORE  
word_randomSelect,自動安排
word_rankExp,RANK EXP
word_rankGrade,名
word_rankGradeFromAtoB,第{0}〜{1}名
word_ranking,排名
word_readyOk,準備完成！
word_recommend,推薦
word_recommendDeck,推薦編成
word_remain,剩下
word_require,必須
word_requireItem,必須道具
word_requestCancel,取消申請
word_reset,重置
word_rest,還有
word_reward,報酬
word_rewardList,報酬一覧
word_rewardItemName,獲得道具名稱
word_rule,規則
word_unlock_room,房間開放
word_unlock_room_finish,房間開放完畢
word_school,學校
word_school_middle,國中
word_school_high,高中
word_schoolYear,學年
word_schoolYearSuffix,年級生
word_secret,???
word_selfIntroduction,自我介紹
word_score,SCORE
word_scoreRank,SCORE RANK
word_second,秒
word_select,選擇
word_selected,選擇中
word_skill,SKILL 
word_setting,設定
word_shop,商店
word_skillLevel,SKILL Lv.
word_sort_createdAt,獲得排序
word_sort_level,等級
word_sort_paramSumDetail,總合力詳細
word_sort_paramSum,總合力
word_sort_paramPerformance,PERFORMANCE
word_sort_paramTechnique,TECHNIQUE
word_sort_paramVisual,VISUAL
word_sort_rarity,稀有度
word_sort_skillLevel,SKILL Lv.
word_specifiedCommercialTransactionLaw,特別商業法標記
word_spend,消費
word_spendNo,沒有消費
word_star,Star
word_starCount,Star x {0}
word_starShop,Star Shop
word_start,開始
word_stamp,貼圖
word_stampRare,稀有貼圖
word_targetMusic,對象樂曲
word_targetScore,目標SCORE
word_times,倍!
word_times_simple,倍
word_toNext,確認
word_top,TOP
word_total,合計
